Trader Address,Trader Name,Account Value,Trading Volume (1d),Trading Volume (7d),Trading Volume (1m),Trading Volume (All time),PNL (1d),PNL (7d),PNL (1m),PNL (All time)
0x17a4ce9320bec0ac79420f0af19848044a469d8d,,11228500.14,0,0,772647.32,8265428.45,1211711.072,300992.0815,-0.003683,17102651.12
0x533d8a3b907792579e6378ae6c138c3e84c01b76,,12270032.72,0,0,0,0,1206003.216,0,0,0
0x0f991873aab3e14191978946d48f30f624ae9867,,17517151.73,264404.39,374865.64,385192.32,30085900.51,1202888.292,29172.02868,0,20632053.8
0xa43d75213160aff6db3b9761dd5ac4fb4fa57d28,,7797716.822,49473222.25,273329129.4,881423790.3,881423790.3,1174069.509,-835872.7224,-449975.1275,-449975.1275
0xe867fbdad3291530e41530301ecb77693850c78e,,18087731.16,341340.21,2625739.6,77677688.38,804913812.9,1149431.762,-66653.0477,-30639.47431,9501789.408
0x1da722cfa8b0dfda57cf8d787689039c7a63f049,EARLY,11449016.65,0,0,0,26289417.94,1138374.388,216207.6672,0,22567765.5
0x162cc7c861ebd0c06b3d72319201150482518185,ABC,48062474.51,1838537498,8421586707,55207667912,5.29E+11,1136743.848,711718.0369,8525998.268,29427987.85
0xfb6678f8bb51215606b01ca1162afa005b28e4c2,,5143297.608,26758742.82,26758742.82,26758742.82,26758742.82,1132051.662,1132051.662,1132051.662,1132051.662
0x53e655101ea361537124ef814ad4e654b54d0637,,16239029.13,0,0,0,0,1130591.396,856788.9242,856788.8718,856788.8718
0x88b6addc407b2b809443aea0cf54221c6149b5c0,,10381100.63,0,0,176042003.5,5851491324,1098714.755,76734.63977,-9543879.137,-5798331.803
0x45ab58a2034f03aa446baf3bb1d236706f866cbc,,3746343.388,15307453.25,44793903.71,150572851.1,699934292.1,1089956.31,893636.6891,-6144553.946,8640251.398
0x59405a300eb792c7c30f7598a560e9555f75142c,,12758398.16,0,0,0,0,1084040.4,0,0,0
0x2cc9aecaec5a7577d27b80afb70b8fda55ee68c0,,10107218.81,0,0,0,9387419.27,1075962.081,0,0,8094086.975
0xa23190045c4aebeb724844ce622465475e539bae,,4704419.539,6335686.49,49827516.71,222727428.3,869254935.7,1054024.816,245033.8714,-9316447.848,13971337.99
0xb190075e8027cc2df5d3b7749e4548fa8e56fa18,,11650126.54,0,0,0,9865923.04,1051078.732,0,0,3831834.965
0x05ffafc6c0efe96584e7237cf27132fcd9d308ce,,15046399.43,0,0,0,0,1044625.644,0,0,0
0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,,15010509.28,0,0,0,224123849.6,1033528.354,28376.52489,0,2385030.788
0x43378368d84d4ba00d1c8e97ec2e6016a82fc062,,4612740.125,0,0,18108006.13,70454814.76,1030716.054,-323277.8657,-2667856.288,-1193428.525
0x4f7634c03ec4e87e14725c84913ade523c6fad5a,,9699655.126,0,0,3886845.58,275150847.5,1026591.949,71697.55632,0,39697867.93
0xaded86bf6e6fd72f78dca132af112fa36230809e,,3977839.088,39072479.45,70473116.63,264091287.7,934716029.4,1025503.506,1854399.116,4449962.54,5526839.088
0x960f7ab9df953dd595137441d231f5c53a567880,,10413029.98,0,0,0,0,1023481.186,92928.01816,0,0
0x97f8219e401f07752a60ddb0a75efda96d1389d9,,13554385.71,0,0,0,2328163.22,1020743.52,89442.92383,0,3956889.492
0xc26cbb6483229e0d0f9a1cab675271eda535b8f4,,15048687.28,0,1333896.2,70256620.52,486254973.8,1017877.331,-268307.7736,-4153442.937,-263496.2836
0x8607a7d180de23645db594d90621d837749408d5,wanyekest,15320184.72,22929.89,2342580.27,10813009.66,3671558729,998965.2242,463577.3824,-2092289.704,25610340.61
0x9abe126127818c6440db88cf32a222e47193e0b0,,14340664.86,0,0,0,0,995712.1558,0,0,2593301.988
0x90924bd2a82c481170e98051196a5bde02d82b15,,2753392.457,32395720.2,235930496.8,1736119086,2588485109,982518.2527,623502.8166,-5766925.494,-8107270.462
0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,,11568299.68,1420558.57,6729255.23,128240730.4,629641727.4,977367.8835,-15407.23396,-239324.9203,25439048
0x9e875bd28ee5001478c16cb0c8329116a3c3e816,,14012624.34,0,0,0,15861990.41,970851.5367,0,0,0
0xa715dbb56dc8c1a6a2d84bfcb0f45bf4da07ad14,,9438097.033,0,0,0,346483768.1,927996.9806,87043.26837,0,5983862.273
0x0cbf655b0d22ae71fba3a674b0e1c0c7e7f975af,,13292474.7,25506.98,25506.98,117905.81,8450037.99,923377.7171,0,0,4915690
0x0ddf9bae2af4b874b96d287a5ad42eb47138a902,Penision Fund,33748901.7,57519016.45,628548171,3136772726,4627919136,911490.8791,-641308.538,11082064.75,10829879.68
